airport,baggageId,eventId,timestamp,type,customerId,rushbag,special,weight,email,name,phone,target
HKG,4202cdca-9176-4b6c-aced-745f90741712,bbc4fcbe-fbc1-433f-9c1e-7ea9e377208a,2019-11-15T03:34:38.057Z,CHECKED_IN,9a55a8c6-5da0-4ac1-8527-dad2776c6db6,N,N,15.3,elias.nieminen@qoco.aero,Elias Nieminen,+654 9690238,PVG
HKG,4202cdca-9176-4b6c-aced-745f90741712,ff643632-2695-4a97-8b69-efe151639e9a,2019-11-15T04:28:01.831Z,LOADED,9a55a8c6-5da0-4ac1-8527-dad2776c6db6,N,N,15.3,elias.nieminen@qoco.aero,Elias Nieminen,+654 9690238,PVG
PVG,4202cdca-9176-4b6c-aced-745f90741712,6fc672b2-95c8-4c93-90fd-8109336cd51a,2019-11-15T08:04:14.758Z,UNLOADED,9a55a8c6-5da0-4ac1-8527-dad2776c6db6,N,N,15.3,elias.nieminen@qoco.aero,Elias Nieminen,+654 9690238,PVG
PVG,4202cdca-9176-4b6c-aced-745f90741712,fd7e0454-483a-4178-a09c-4d9852408d70,2019-11-15T08:49:27.087Z,CLAIMED,9a55a8c6-5da0-4ac1-8527-dad2776c6db6,N,N,15.3,elias.nieminen@qoco.aero,Elias Nieminen,+654 9690238,PVG
ORD,90cda708-b57d-4195-b30d-627e9f99ea36,149ca57e-fbfb-49a7-ab78-6a9423e571ed,2019-11-15T10:26:39.370Z,CHECKED_IN,72a12e94-fbce-437f-a774-df9aa9ce3639,N,H,39.1,ilona.nieminen@qoco.aero,Ilona Nieminen,+314 5718648,PVG
ORD,90cda708-b57d-4195-b30d-627e9f99ea36,477d1827-2f7a-4461-8d61-1b99e1ce55d1,2019-11-15T11:04:09.610Z,LOADED,72a12e94-fbce-437f-a774-df9aa9ce3639,N,H,39.1,ilona.nieminen@qoco.aero,Ilona Nieminen,+314 5718648,PVG
PVG,90cda708-b57d-4195-b30d-627e9f99ea36,36191ecf-d6f6-498f-ad38-bd178421600d,2019-11-16T03:02:14.288Z,UNLOADED,72a12e94-fbce-437f-a774-df9aa9ce3639,N,H,39.1,ilona.nieminen@qoco.aero,Ilona Nieminen,+314 5718648,PVG
PVG,90cda708-b57d-4195-b30d-627e9f99ea36,0bd18908-e86c-4247-9502-05d5344585b9,2019-11-16T03:30:06.923Z,CLAIMED,72a12e94-fbce-437f-a774-df9aa9ce3639,N,H,39.1,ilona.nieminen@qoco.aero,Ilona Nieminen,+314 5718648,PVG
HKG,e4bd8e79-59c2-42c1-be9a-34c9d5c61f18,cd74b253-c905-4441-bf9f-d36b2b7d1337,2019-11-15T11:11:49.606Z,CHECKED_IN,d3491a80-9973-4a3a-954c-89dfe686af02,N,N,8.4,johannes.mäkinen@qoco.aero,Johannes Mäkinen,+174 9635748,PVG
HKG,e4bd8e79-59c2-42c1-be9a-34c9d5c61f18,2627f4ba-eb77-4fc7-8970-6b333b8b7adb,2019-11-15T11:52:42.125Z,LOADED,d3491a80-9973-4a3a-954c-89dfe686af02,N,N,8.4,johannes.mäkinen@qoco.aero,Johannes Mäkinen,+174 9635748,PVG
PVG,e4bd8e79-59c2-42c1-be9a-34c9d5c61f18,7ef114f9-348f-491a-8338-a4de26e51898,2019-11-15T15:18:42.064Z,UNLOADED,d3491a80-9973-4a3a-954c-89dfe686af02,N,N,8.4,johannes.mäkinen@qoco.aero,Johannes Mäkinen,+174 9635748,PVG
PVG,e4bd8e79-59c2-42c1-be9a-34c9d5c61f18,92ea0972-c4d7-49f4-b080-c63c80e71050,2019-11-15T15:28:53.262Z,DAMAGED,d3491a80-9973-4a3a-954c-89dfe686af02,N,N,8.4,johannes.mäkinen@qoco.aero,Johannes Mäkinen,+174 9635748,PVG
PVG,e4bd8e79-59c2-42c1-be9a-34c9d5c61f18,db7f5779-e66b-44e2-aa55-a7beeb26665b,2019-11-15T16:09:35.999Z,CLAIMED,d3491a80-9973-4a3a-954c-89dfe686af02,N,N,8.4,johannes.mäkinen@qoco.aero,Johannes Mäkinen,+174 9635748,PVG
DXB,267c8126-b658-426a-99e8-44b553828790,ee180f36-a459-49a8-8c63-f1ca7afe9eac,2019-11-15T01:29:35.899Z,CHECKED_IN,4aa5d121-8b96-4bc5-b1bf-09d98b918f75,N,N,16.2,juhani.virtanen@qoco.aero,Juhani Virtanen,+572 7064908,CDG
DXB,267c8126-b658-426a-99e8-44b553828790,a6c853be-f0cf-44f7-a2ce-0e45e2fa06c0,2019-11-15T02:17:48.565Z,LOADED,4aa5d121-8b96-4bc5-b1bf-09d98b918f75,N,N,16.2,juhani.virtanen@qoco.aero,Juhani Virtanen,+572 7064908,CDG
HND,267c8126-b658-426a-99e8-44b553828790,e069ed37-de64-4309-8186-57cb6e593ea3,2019-11-15T19:27:29.214Z,UNLOADED,4aa5d121-8b96-4bc5-b1bf-09d98b918f75,N,N,16.2,juhani.virtanen@qoco.aero,Juhani Virtanen,+572 7064908,CDG
CDG,267c8126-b658-426a-99e8-44b553828790,f941067a-3f53-4429-899f-328c681b7efe,2019-11-15T19:44:34.831Z,MISSING,4aa5d121-8b96-4bc5-b1bf-09d98b918f75,N,N,16.2,juhani.virtanen@qoco.aero,Juhani Virtanen,+572 7064908,CDG
PVG,efd334e2-576a-4d92-9cb9-755ec7de04d7,7e3a2734-1838-4988-9ca0-743d19d786a4,2019-11-15T06:19:26.758Z,CHECKED_IN,b2454709-913e-4a35-9cc1-397010209bc0,N,CH,42.9,olavi.hämäläinen@qoco.aero,Olavi Hämäläinen,+356 1377909,ORD
PVG,efd334e2-576a-4d92-9cb9-755ec7de04d7,8bbc37c1-02da-4aa0-8966-526008003eba,2019-11-15T06:54:04.145Z,LOADED,b2454709-913e-4a35-9cc1-397010209bc0,N,CH,42.9,olavi.hämäläinen@qoco.aero,Olavi Hämäläinen,+356 1377909,ORD
LHR,efd334e2-576a-4d92-9cb9-755ec7de04d7,50b47b10-7998-45c2-9eff-57a81de2e422,2019-11-15T19:32:21.003Z,UNLOADED,b2454709-913e-4a35-9cc1-397010209bc0,N,CH,42.9,olavi.hämäläinen@qoco.aero,Olavi Hämäläinen,+356 1377909,ORD
LHR,efd334e2-576a-4d92-9cb9-755ec7de04d7,f2aa016e-8ebc-4c2c-8e45-edcdc308332e,2019-11-15T19:47:51.951Z,LOADED,b2454709-913e-4a35-9cc1-397010209bc0,N,CH,42.9,olavi.hämäläinen@qoco.aero,Olavi Hämäläinen,+356 1377909,ORD
DXB,efd334e2-576a-4d92-9cb9-755ec7de04d7,0165136f-8758-42d1-8a34-461556b7b01c,2019-11-15T21:32:19.596Z,UNLOADED,b2454709-913e-4a35-9cc1-397010209bc0,N,CH,42.9,olavi.hämäläinen@qoco.aero,Olavi Hämäläinen,+356 1377909,ORD
ORD,efd334e2-576a-4d92-9cb9-755ec7de04d7,45b72a2d-7309-4e41-9ae4-14361384811c,2019-11-15T22:33:05.102Z,MISSING,b2454709-913e-4a35-9cc1-397010209bc0,N,CH,42.9,olavi.hämäläinen@qoco.aero,Olavi Hämäläinen,+356 1377909,ORD
PEK,9d51fd62-1b0d-45b6-b68a-4b121bd27dff,eb1bf7e6-0a6c-4fd2-8c36-eec63e01301d,2019-11-15T11:27:42.981Z,CHECKED_IN,019e9d60-ac50-4e33-b6dd-391248119707,N,H,43.2,ilmari.mäkinen@qoco.aero,Ilmari Mäkinen,+115 3893341,LHR
PEK,9d51fd62-1b0d-45b6-b68a-4b121bd27dff,0ccf40f5-94e1-4a74-a43d-011d027c7f4a,2019-11-15T11:56:36.430Z,LOADED,019e9d60-ac50-4e33-b6dd-391248119707,N,H,43.2,ilmari.mäkinen@qoco.aero,Ilmari Mäkinen,+115 3893341,LHR
LHR,9d51fd62-1b0d-45b6-b68a-4b121bd27dff,80a3ded2-a418-4844-b57d-dde5e06d5248,2019-11-15T23:30:45.194Z,UNLOADED,019e9d60-ac50-4e33-b6dd-391248119707,N,H,43.2,ilmari.mäkinen@qoco.aero,Ilmari Mäkinen,+115 3893341,LHR
LHR,9d51fd62-1b0d-45b6-b68a-4b121bd27dff,0c5333b7-71ea-40b1-a3c5-a0ed6bd18ff4,2019-11-16T00:16:58.576Z,CLAIMED,019e9d60-ac50-4e33-b6dd-391248119707,N,H,43.2,ilmari.mäkinen@qoco.aero,Ilmari Mäkinen,+115 3893341,LHR
ORD,fe1f5ee8-5684-4bc8-a473-fed319639769,f4de3195-fa00-48ec-ab30-2be1874a3ead,2019-11-15T08:01:02.104Z,CHECKED_IN,08fd9b1e-95fe-4ef5-bed9-ec4181a32996,Y,TH,40.0,matilda.koskinen@qoco.aero,Matilda Koskinen,+451 1453787,LAX
ORD,fe1f5ee8-5684-4bc8-a473-fed319639769,5cd14683-2ebe-4e82-bb27-35b83ffce2da,2019-11-15T08:13:15.454Z,LOADED,08fd9b1e-95fe-4ef5-bed9-ec4181a32996,Y,TH,40.0,matilda.koskinen@qoco.aero,Matilda Koskinen,+451 1453787,LAX
LAX,fe1f5ee8-5684-4bc8-a473-fed319639769,bb70f562-2b71-43cb-910a-6882a6f65621,2019-11-15T12:56:52.049Z,UNLOADED,08fd9b1e-95fe-4ef5-bed9-ec4181a32996,Y,TH,40.0,matilda.koskinen@qoco.aero,Matilda Koskinen,+451 1453787,LAX
LAX,fe1f5ee8-5684-4bc8-a473-fed319639769,cec757fc-83a4-42ea-b810-e4cb7e39b321,2019-11-15T13:42:40.882Z,CLAIMED,08fd9b1e-95fe-4ef5-bed9-ec4181a32996,Y,TH,40.0,matilda.koskinen@qoco.aero,Matilda Koskinen,+451 1453787,LAX
